Label,ROIname,Lobe,Gyrus,description,Yeo_7network,Yeo_17network,index,FS_name,Yeo_7network_name,Yeo_17network_name,Hemi,x,y,z
204,OPC,Occipital Lobe,"LOcC, lateral Occipital Cortex", occipital polar cortex,1.0,1.0,203,OPC_R,Visual,Visual A,R,21.81652293463317,-97.28958880139984,4.2992125984252
205,iOccG,Occipital Lobe,"LOcC, lateral Occipital Cortex", inferior occipital gyrus,1.0,1.0,204,iOccG_L,Visual,Visual A,L,-30.202967868530784,-87.65624233505028,-12.263796909492273
206,iOccG,Occipital Lobe,"LOcC, lateral Occipital Cortex", inferior occipital gyrus,1.0,1.0,205,iOccG_R,Visual,Visual A,R,32.111306464701116,-84.60021639166892,-11.552745469299431
207,msOccG,Occipital Lobe,"LOcC, lateral Occipital Cortex", medial superior occipital gyrus,1.0,2.0,206,msOccG_L,Visual,Visual B,L,-10.786147729650551,-87.95563925507429,30.576061937643857
208,msOccG,Occipital Lobe,"LOcC, lateral Occipital Cortex", medial superior occipital gyrus,1.0,2.0,207,msOccG_R,Visual,Visual B,R,16.30992132028402,-85.1306850892343,34.299558625983494
209,lsOccG,Occipital Lobe,"LOcC, lateral Occipital Cortex", lateral superior occipital gyrus,1.0,1.0,208,lsOccG_L,Visual,Visual A,L,-22.17450365726228,-77.26750261233019,35.84451410658308
210,lsOccG,Occipital Lobe,"LOcC, lateral Occipital Cortex", lateral superior occipital gyrus,1.0,5.0,209,lsOccG_R,Visual,Temporal Parietal,R,28.657632653061228,-74.52016326530612,36.08440816326531
211,mAmyg,Subcortical Nuclei,"Amyg, Amygdala", medial amygdala,0.0,0.0,210,,Subcortical,Subcortical,L,-18.77887788778878,-2.2244224422442187,-19.932343234323433
212,mAmyg,Subcortical Nuclei,"Amyg, Amygdala", medial amygdala,0.0,0.0,211,,Subcortical,Subcortical,R,19.2856276531231,-2.497877501516072,-19.462704669496667
213,lAmyg,Subcortical Nuclei,"Amyg, Amygdala", lateral amygdala,0.0,0.0,212,,Subcortical,Subcortical,L,-27.184568835098332,-3.8940998487140632,-19.99848714069591
214,lAmyg,Subcortical Nuclei,"Amyg, Amygdala", lateral amygdala,0.0,0.0,213,,Subcortical,Subcortical,R,27.808447937131632,-3.258349705304525,-19.87426326129666
215,rHipp,Subcortical Nuclei,"Hipp, Hippocampus", rostral hippocampus,0.0,0.0,214,,Subcortical,Subcortical,L,-22.08537886872999,-13.698612593383132,-18.869583778014945
216,rHipp,Subcortical Nuclei,"Hipp, Hippocampus", rostral hippocampus,0.0,0.0,215,,Subcortical,Subcortical,R,21.69504846738276,-12.179460309143307,-20.33167408959916
217,cHipp,Subcortical Nuclei,"Hipp, Hippocampus", caudal hippocampus,0.0,0.0,216,,Subcortical,Subcortical,L,-27.734549356223177,-30.05321888412017,-10.005793991416311
218,cHipp,Subcortical Nuclei,"Hipp, Hippocampus", caudal hippocampus,0.0,0.0,217,,Subcortical,Subcortical,R,29.21651560926486,-27.144410876132937,-10.363141993957704
219,vCa,Subcortical Nuclei,"BG, Basal Ganglia", ventral caudate,0.0,0.0,218,,Subcortical,Subcortical,L,-12.022465753424656,14.42794520547946,-0.2142465753424716
220,vCa,Subcortical Nuclei,"BG, Basal Ganglia", ventral caudate,0.0,0.0,219,,Subcortical,Subcortical,R,14.533534287867369,14.410324039186122,-2.383948756593824
221,GP,Subcortical Nuclei,"BG, Basal Ganglia", globus pallidus,0.0,0.0,220,,Subcortical,Subcortical,L,-21.642600717989623,-1.761866773035507,3.5907459114479394
222,GP,Subcortical Nuclei,"BG, Basal Ganglia", globus pallidus,0.0,0.0,221,,Subcortical,Subcortical,R,21.85975847292559,-1.8507985975847276,3.3918971562134743
223,NAC,Subcortical Nuclei,"BG, Basal Ganglia", nucleus accumbens,0.0,0.0,222,,Subcortical,Subcortical,L,-16.897740329375722,3.4297204136346124,-9.290693220988125
224,NAC,Subcortical Nuclei,"BG, Basal Ganglia", nucleus accumbens,0.0,0.0,223,,Subcortical,Subcortical,R,12.3255895811334,10.472720872932058,-8.662090813093982
225,vmPu,Subcortical Nuclei,"BG, Basal Ganglia", ventromedial putamen,0.0,0.0,224,,Subcortical,Subcortical,L,-22.72632363907532,6.514168530947046,-3.6413124533929846
226,vmPu,Subcortical Nuclei,"BG, Basal Ganglia", ventromedial putamen,0.0,0.0,225,,Subcortical,Subcortical,R,21.78331584470095,8.27334732423924,-1.331584470094441
227,dCa,Subcortical Nuclei,"BG, Basal Ganglia", dorsal caudate,0.0,0.0,226,,Subcortical,Subcortical,L,-14.474297953355546,2.0016658733936197,16.4738219895288
228,dCa,Subcortical Nuclei,"BG, Basal Ganglia", dorsal caudate,0.0,0.0,227,,Subcortical,Subcortical,R,13.92796533670338,5.4601913702834395,14.3979057591623
229,dlPu,Subcortical Nuclei,"BG, Basal Ganglia", dorsolateral putamen,0.0,0.0,228,,Subcortical,Subcortical,L,-28.304906542056074,-5.268983644859816,1.5403037383177605
230,dlPu,Subcortical Nuclei,"BG, Basal Ganglia", dorsolateral putamen,0.0,0.0,229,,Subcortical,Subcortical,R,29.13309151785714,-3.3816964285714306,1.4681919642857082
231,mPFtha,Subcortical Nuclei,"Tha, Thalamus", medial pre-frontal thalamus,0.0,0.0,230,,Subcortical,Subcortical,L,-6.5330073349633295,-12.045843520782398,5.221882640586799
232,mPFtha,Subcortical Nuclei,"Tha, Thalamus", medial pre-frontal thalamus,0.0,0.0,231,,Subcortical,Subcortical,R,7.232734806629836,-10.884668508287293,5.837016574585633
233,mPMtha,Subcortical Nuclei,"Tha, Thalamus", pre-motor thalamus,0.0,0.0,232,,Subcortical,Subcortical,L,-18.39681050656661,-13.141651031894938,3.295497185741084
234,mPMtha,Subcortical Nuclei,"Tha, Thalamus", pre-motor thalamus,0.0,0.0,233,,Subcortical,Subcortical,R,12.442663378545006,-13.628236744759562,0.9192355117139356
235,Stha,Subcortical Nuclei,"Tha, Thalamus", sensory thalamus,0.0,0.0,234,,Subcortical,Subcortical,L,-17.59582542694497,-22.708728652751415,3.548387096774192
236,Stha,Subcortical Nuclei,"Tha, Thalamus", sensory thalamus,0.0,0.0,235,,Subcortical,Subcortical,R,17.724137931034477,-21.61990595611286,3.092476489028215
237,rTtha,Subcortical Nuclei,"Tha, Thalamus", rostral temporal thalamus,0.0,0.0,236,,Subcortical,Subcortical,L,-3.682397003745322,-8.581273408239696,6.985767790262173
238,rTtha,Subcortical Nuclei,"Tha, Thalamus", rostral temporal thalamus,0.0,0.0,237,,Subcortical,Subcortical,R,-1.0,-10.852941176470594,2.352941176470594
239,PPtha,Subcortical Nuclei,"Tha, Thalamus", posterior parietal thalamus,0.0,0.0,238,,Subcortical,Subcortical,L,-16.30419222903886,-24.19734151329243,6.140081799591002
240,PPtha,Subcortical Nuclei,"Tha, Thalamus", posterior parietal thalamus,0.0,0.0,239,,Subcortical,Subcortical,R,15.364561027837254,-25.36777301927195,6.047109207708786
241,Otha,Subcortical Nuclei,"Tha, Thalamus", occipital thalamus,0.0,0.0,240,,Subcortical,Subcortical,L,-14.856822010106685,-28.217855137563163,3.850084222346993
242,Otha,Subcortical Nuclei,"Tha, Thalamus", occipital thalamus,0.0,0.0,241,,Subcortical,Subcortical,R,13.053984575835472,-28.022279348757493,7.271636675235641
243,cTtha,Subcortical Nuclei,"Tha, Thalamus", caudal temporal thalamus,0.0,0.0,242,,Subcortical,Subcortical,L,-11.470398970398977,-22.097168597168604,12.698841698841704
244,cTtha,Subcortical Nuclei,"Tha, Thalamus", caudal temporal thalamus,0.0,0.0,243,,Subcortical,Subcortical,R,9.481907894736835,-13.82976973684211,13.899671052631575
245,lPFtha,Subcortical Nuclei,"Tha, Thalamus", lateral pre-frontal thalamus,0.0,0.0,244,,Subcortical,Subcortical,L,-11.291851346743954,-14.455847255369932,2.211387657688377
246,lPFtha,Subcortical Nuclei,"Tha, Thalamus", lateral pre-frontal thalamus,0.0,0.0,245,,Subcortical,Subcortical,R,12.541482572410402,-16.26067746686303,6.649975454099163
247,Cereb,Cerebellum,Cerebellum,Unknown,,,246,,,,,-7.655987275619182,-43.89752329016133,-17.342876618950235
248,Cereb,Cerebellum,Cerebellum,Unknown,,,247,,,,,9.64879649890591,-43.43599562363238,-18.194566010211524
249,Cereb,Cerebellum,Cerebellum,Unknown,,,248,,,,,-13.708817126269963,-49.49274310595065,-19.179970972423803
250,Cereb,Cerebellum,Cerebellum,Unknown,,,249,,,,,13.94908497916289,-51.29552455154919,-18.723500634172854
251,Cereb,Cerebellum,Cerebellum,Unknown,,,250,,,,,-22.58059642147117,-58.66990059642147,-24.982425447316103
252,Cereb,Cerebellum,Cerebellum,Unknown,,,251,,,,,-2.732382550335572,-70.76593959731544,-21.41442953020134
253,Cereb,Cerebellum,Cerebellum,Unknown,,,252,,,,,24.43507261060452,-58.1160081053698,-25.24164133738602
254,Cereb,Cerebellum,Cerebellum,Unknown,,,253,,,,,-36.05682410593265,-68.36737566468565,-31.881972682723383
255,Cereb,Cerebellum,Cerebellum,Unknown,,,254,,,,,-4.0,-78.2,-26.6
256,Cereb,Cerebellum,Cerebellum,Unknown,,,255,,,,,37.82018021586296,-67.64536092682444,-31.678235468858304
257,Cereb,Cerebellum,Cerebellum,Unknown,,,256,,,,,-26.020366732154557,-74.75383104125737,-42.31814014407335
258,Cereb,Cerebellum,Cerebellum,Unknown,,,257,,,,,-2.267605633802816,-74.87323943661971,-30.868544600938968
259,Cereb,Cerebellum,Cerebellum,Unknown,,,258,,,,,26.57925595030362,-75.64326097578,-41.33286801144692
260,Cereb,Cerebellum,Cerebellum,Unknown,,,259,,,,,-26.118557453642865,-65.76230106584903,-50.98496130822018
261,Cereb,Cerebellum,Cerebellum,Unknown,,,260,,,,,-3.1512605042016872,-68.57142857142857,-31.48739495798319
262,Cereb,Cerebellum,Cerebellum,Unknown,,,261,,,,,28.199971815107105,-65.72547914317926,-50.62556369785795
263,Cereb,Cerebellum,Cerebellum,Unknown,,,262,,,,,-23.87484355444306,-57.35747809762202,-52.92709637046307
264,Cereb,Cerebellum,Cerebellum,Unknown,,,263,,,,,-3.3144475920679923,-66.94475920679886,-37.86260623229462
265,Cereb,Cerebellum,Cerebellum,Unknown,,,264,,,,,25.804812434613662,-57.90076221790464,-53.09938723658646
266,Cereb,Cerebellum,Cerebellum,Unknown,,,265,,,,,-16.50046580957705,-50.51444009688839,-54.80119247251723
267,Cereb,Cerebellum,Cerebellum,Unknown,,,266,,,,,-3.195710455764072,-63.265415549597854,-42.0402144772118
268,Cereb,Cerebellum,Cerebellum,Unknown,,,267,,,,,17.971892458100555,-50.87360335195531,-55.038931564245814
269,Cereb,Cerebellum,Cerebellum,Unknown,,,268,,,,,-6.572578841422498,-53.46991724446433,-48.207336166405724
270,Cereb,Cerebellum,Cerebellum,Unknown,,,269,,,,,-2.5862068965517295,-55.947126436781616,-37.0
271,Cereb,Cerebellum,Cerebellum,Unknown,,,270,,,,,6.941097979412888,-53.62657262676325,-48.6208539839878
272,Cereb,Cerebellum,Cerebellum,Unknown,,,271,,,,,-20.483408071748883,-36.875336322869956,-45.460089686098655
273,Cereb,Cerebellum,Cerebellum,Unknown,,,272,,,,,-1.8571428571428612,-47.949579831932766,-35.05882352941177
274,Cereb,Cerebellum,Cerebellum,Unknown,,,273,,,,,22.01234567901234,-37.08559670781894,-45.62880658436214
